"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.","5","['processor', 'OSX 16', 'graphics', 'hardware', 'software']","['positive', 'positive', 'positive', 'neutral', 'neutral']"
"I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.","2","['Intel Core processors', 'HDMI port']","['neutral', 'neutral']"
"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.","1","['staff']","['negative']"
"The price premium is a little much, but when you start looking at the features it is worth the added cash.","2","['price premium', 'features']","['negative', 'positive']"
"I can't say enough of how satisfied I am with their product and help aftermarket.","1","['product and help aftermarket']","['positive']"
"Microsoft word was not on it andI had to buy it seperately.","1","['Microsoft word']","['negative']"
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.","3","['usb ports', 'sd memory card reader', 'sd memory car expansion']","['neutral', 'neutral', 'neutral']"
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.","3","['LaCie 2Big external drive', 'firewire 800 interface', 'Time Machine']","['neutral', 'positive', 'neutral']"
"My Toshiba did not have sound on everything, just certain things.","1","['sound']","['negative']"
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.","2","['extra features', 'windows 7 home premium']","['positive', 'positive']"
"The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.","3","['boot', 'Acer screen', 'USB port']","['negative', 'negative', 'negative']"
"The battery life was shorter than expected.","1","['battery life']","['negative']"
"It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.","1","['fires up']","['positive']"
"The keyboard is top notch.","1","['keyboard']","['positive']"
"It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.","1","['software']","['negative']"
"The online tutorial videos make it super easy to learn if you have always used a PC.","1","['online tutorial videos']","['positive']"
"The image is great, and the soud is excelent.","2","['image', 'soud']","['positive', 'positive']"
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.","4","['windows', 'boot up', 'shut down', 'windows']","['negative', 'negative', 'negative', 'negative']"
"It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.","2","['use', 'Mac OS']","['positive', 'positive']"
"It is well worth the money it cost, Very good investment.","1","['cost']","['positive']"
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;","3","['Windows 7 Starter', 'Windows 7 Home Premium', 'Windows 7 Professional']","['neutral', 'neutral', 'neutral']"
"This computer had exactly the specifications I needed.","1","['specifications']","['positive']"
"My kids (and dogs) destroyed two power cords by pulling on them.","1","['power cords']","['neutral']"
"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.","1","['multi-touch features']","['positive']"
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.","2","['screen', 'clicking buttons']","['negative', 'negative']"
"Not to mention, the battery life is absolutely amazing.","1","['battery life']","['positive']"
"Windows also shuts the computer down for no reason without warning.","1","['Windows']","['negative']"
"not using wired lan not sure what thats about.","1","['wired lan']","['neutral']"
"Now for the hardware problems.","1","['hardware']","['negative']"
"Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.","1","['hard drive']","['negative']"
"It's fast and has excellent battery life.","1","['battery life']","['positive']"
"Apple care included.","1","['Apple care']","['neutral']"
"Features like the font are very block-like and old school.","2","['Features', 'font']","['negative', 'negative']"
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.","2","['programs', 'run']","['negative', 'negative']"
"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.","1","['plastic\xc2\xa0pieces']","['negative']"
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.","1","['2GB RAM stick']","['neutral']"
"Windows is also rather unsteady on its feet and is susceptible to many bugs.","1","['Windows']","['negative']"
"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.","1","['Microsoft Word for Mac']","['neutral']"
"DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.","1","['WARRANTY COMPANY']","['negative']"
"then on top of it all their cusromer service center is in the middle east.","1","['cusromer service center']","['negative']"
"The only bad part is the size/weight.","2","['size', 'weight']","['negative', 'negative']"
"The little battery that it did have would only last about an hour while just having it on the desktop.","1","['battery']","['negative']"
